adjust_temp,ApplStandard,Brand,Cap,Country,Decl Stand Heat,Depth,Gross Store Cap,Heating Elements,Height,Label-MEPSNZ,Model No,Family Name,N-Standard,N-Standard_MEPS,Sold_in,Submit_ID,SubmitStatus,tot_expan_valves,tot_feed_tanks,tot_hotwat_fittings,TPR Valves,Type,vent_displacement,Width,ExpDate,GrandDate,Product Class,Availability Status,Product Website,Representative Brand URL
True,AS/NZS 4692.2:2005,HJ COOPER,Not Applicable - Application for MEPS in NZ Only,New Zealand,1.34,,270.0,,,MEPS-NZ2003-electric,TR 270 745 25,,NZ 4606.1,NZS 4606.1-1989,New Zealand,30064,Approved,0,0,0,1,Vented/Non-displacement,,,,,,Unavailable,,
True,AS/NZS 4692.2:2005,HJ COOPER,Not Applicable - Application for MEPS in NZ Only,New Zealand,2.83,,450.0,,,MEPS-NZ2003-electric,TR 450 745 15,,NZ 4606.1,NZS 4606.1-1989,New Zealand,30066,Approved,0,0,0,1,Vented/Non-displacement,,,,,,Unavailable,,
True,AS/NZS 4692.2:2005,HJ COOPER,Not Applicable - Application for MEPS in NZ Only,New Zealand,1.34,,180.0,,,MEPS-NZ2003-electric,TR 180 510 14,,NZ 4606.1,NZS 4606.1-1989,New Zealand,30067,Approved,0,0,0,1,Vented/Non-displacement,,,,,,Unavailable,,
True,AS/NZS 4692.2:2005,HJ COOPER,Not Applicable - Application for MEPS in NZ Only,New Zealand,1.34,,180.0,,,MEPS-NZ2003-electric,TR 180 510 15,,NZ 4606.1,NZS 4606.1-1989,New Zealand,30067,Approved,0,0,0,1,Vented/Non-displacement,,,,,,Unavailable,,
True,AS/NZS 4692.2:2005,HJ COOPER,Not Applicable - Application for MEPS in NZ Only,New Zealand,1.34,,180.0,,,MEPS-NZ2003-electric,TR 180 510 24,,NZ 4606.1,NZS 4606.1-1989,New Zealand,30067,Approved,0,0,0,1,Vented/Non-displacement,,,,,,Unavailable,,
True,AS/NZS 4692.2:2005,HJ COOPER,Not Applicable - Application for MEPS in NZ Only,New Zealand,1.34,,180.0,,,MEPS-NZ2003-electric,TR 180 510 25,,NZ 4606.1,NZS 4606.1-1989,New Zealand,30067,Approved,0,0,0,1,Vented/Non-displacement,,,,,,Unavailable,,
True,AS/NZS 4692.2:2005,HJ COOPER,Not Applicable - Application for MEPS in NZ Only,New Zealand,1.31,,180.0,,,MEPS-NZ2003-electric,TR 180 530 14,,NZ 4606.1,NZS 4606.1-1989,New Zealand,30069,Approved,0,0,0,1,Vented/Non-displacement,,,,,,Unavailable,,
True,AS/NZS 4692.2:2005,HJ COOPER,Not Applicable - Application for MEPS in NZ Only,New Zealand,1.31,,180.0,,,MEPS-NZ2003-electric,TR 180 530 15,,NZ 4606.1,NZS 4606.1-1989,New Zealand,30069,Approved,0,0,0,1,Vented/Non-displacement,,,,,,Unavailable,,
True,AS/NZS 4692.2:2005,HJ COOPER,Not Applicable - Application for MEPS in NZ Only,New Zealand,1.31,,180.0,,,MEPS-NZ2003-electric,TR 180 530 24,,NZ 4606.1,NZS 4606.1-1989,New Zealand,30069,Approved,0,0,0,1,Vented/Non-displacement,,,,,,Unavailable,,
True,AS/NZS 4692.2:2005,HJ COOPER,Not Applicable - Application for MEPS in NZ Only,New Zealand,1.31,,180.0,,,MEPS-NZ2003-electric,TR 180 530 25,,NZ 4606.1,NZS 4606.1-1989,New Zealand,30069,Approved,0,0,0,1,Vented/Non-displacement,,,,,,Unavailable,,
True,AS/NZS 4692.2:2005,HJ COOPER,Not Applicable - Application for MEPS in NZ Only,New Zealand,1.18,,180.0,,,MEPS-NZ2003-electric,TR 180 550 14,,NZ 4606.1,NZS 4606.1-1989,New Zealand,30070,Approved,0,0,0,1,Vented/Non-displacement,,,,,,Unavailable,,
True,AS/NZS 4692.2:2005,HJ COOPER,Not Applicable - Application for MEPS in NZ Only,New Zealand,1.18,,180.0,,,MEPS-NZ2003-electric,TR 180 550 15,,NZ 4606.1,NZS 4606.1-1989,New Zealand,30070,Approved,0,0,0,1,Vented/Non-displacement,,,,,,Unavailable,,
True,AS/NZS 4692.2:2005,HJ COOPER,Not Applicable - Application for MEPS in NZ Only,New Zealand,1.18,,180.0,,,MEPS-NZ2003-electric,TR 180 550 24,,NZ 4606.1,NZS 4606.1-1989,New Zealand,30070,Approved,0,0,0,1,Vented/Non-displacement,,,,,,Unavailable,,
True,AS/NZS 4692.2:2005,HJ COOPER,Not Applicable - Application for MEPS in NZ Only,New Zealand,1.18,,180.0,,,MEPS-NZ2003-electric,TR 180 550 25,,NZ 4606.1,NZS 4606.1-1989,New Zealand,30070,Approved,0,0,0,1,Vented/Non-displacement,,,,,,Unavailable,,
True,AS/NZS 4692.2:2005,HJ COOPER,Not Applicable - Application for MEPS in NZ Only,New Zealand,1.52,,225.0,,,MEPS-NZ2003-electric,TR 225 600 15,,NZ 4606.1,NZS 4606.1-1989,New Zealand,30071,Approved,0,0,0,1,Vented/Non-displacement,,,,,,Unavailable,,
True,AS/NZS 4692.2:2005,HJ COOPER,Not Applicable - Application for MEPS in NZ Only,New Zealand,1.52,,225.0,,,MEPS-NZ2003-electric,TR 225 600 25,,NZ 4606.1,NZS 4606.1-1989,New Zealand,30071,Approved,0,0,0,1,Vented/Non-displacement,,,,,,Unavailable,,
False,AS/NZS 4692.2:2005,MID-WAY PLUS,Not Applicable - Application for MEPS in NZ Only,New Zealand,1.22,,135.0,,,MEPS-NZ2003-electric,TR 135 530 34,,NZ 4606.1,NZS 4606.1-1989,New Zealand,30074,Approved,0,0,0,1,Vented/Non-displacement,,,,,,Unavailable,,
False,AS/NZS 4692.2:2005,MID-WAY PLUS,Not Applicable - Application for MEPS in NZ Only,New Zealand,1.22,,135.0,,,MEPS-NZ2003-electric,TR 135 550 34,,NZ 4606.1,NZS 4606.1-1989,New Zealand,30075,Approved,0,0,0,1,Vented/Non-displacement,,,,,,Unavailable,,
False,AS/NZS 4692.2:2005,MID-WAY PLUS,Not Applicable - Application for MEPS in NZ Only,New Zealand,1.52,,225.0,,,MEPS-NZ2003-electric,TR 225 550 35,,NZ 4606.1,NZS 4606.1-1989,New Zealand,30076,Approved,0,0,0,1,Vented/Non-displacement,,,,,,Unavailable,,
False,AS/NZS 4692.2:2005,MID-WAY PLUS,Not Applicable - Application for MEPS in NZ Only,New Zealand,1.52,,225.0,,,MEPS-NZ2003-electric,TR 225 600 35,,NZ 4606.1,NZS 4606.1-1989,New Zealand,30077,Approved,0,0,0,1,Vented/Non-displacement,,,,,,Unavailable,,
False,AS/NZS 4692.2:2005,MID-WAY PLUS,Not Applicable - Application for MEPS in NZ Only,New Zealand,1.34,,180.0,,,MEPS-NZ2003-electric,TR 180 530 34,,NZ 4606.1,NZS 4606.1-1989,New Zealand,30080,Approved,0,0,0,1,Vented/Non-displacement,,,,,,Unavailable,,
False,AS/NZS 4692.2:2005,MID-WAY PLUS,Not Applicable - Application for MEPS in NZ Only,New Zealand,1.34,,180.0,,,MEPS-NZ2003-electric,TR 180 530 35,,NZ 4606.1,NZS 4606.1-1989,New Zealand,30080,Approved,0,0,0,1,Vented/Non-displacement,,,,,,Unavailable,,
False,AS/NZS 4692.2:2005,MID-WAY PLUS,Not Applicable - Application for MEPS in NZ Only,New Zealand,1.34,,180.0,,,MEPS-NZ2003-electric,TR 180 550 34,,NZ 4606.1,NZS 4606.1-1989,New Zealand,30081,Approved,0,0,0,1,Vented/Non-displacement,,,,,,Unavailable,,
