ApplStandard,Brand,Country,Lamp_Freq,Model No,Family Name,N-Standard,nom_len,nom_watt,Rated_CRI,Rated_IE,Rated_IL,Rated_ILW,Rated_ME,Rated_ML,Rated_MLW,Sold_in,Submit_ID,SubmitStatus,ExpDate,GrandDate,Product Class,Availability Status,Product Website,Representative Brand URL,ILCOS Code,Nominal Diameter (mm)
Greenhouse and Energy Minimum Standards (Double-capped fluorescent lamps) Determination 2017,PHILIPS,China,High Frequency,"30W, 830 lamp",Alto Linear,AS/NZS 4782.1:2004,1206.0,36.0,83.0,88.9617486338798,3256.0,36.6,85.8469945355191,3142.0,36.6,"Australia,New Zealand",114976,Approved,2023-06-14,,Class 3,Unavailable,http://www.philips.com.au/,,FD-36-E-G13-26/1200,26.0
Greenhouse and Energy Minimum Standards (Double-capped fluorescent lamps) Determination 2017,PHILIPS,China,High Frequency,"30W, 840 lamp",Alto Linear,AS/NZS 4782.1:2004,1206.0,36.0,83.0,88.9617486338798,3256.0,36.6,85.8469945355191,3142.0,36.6,"Australia,New Zealand",114976,Approved,2023-06-14,,Class 3,Unavailable,http://www.philips.com.au/,,FD-36-E-G13-26/1200,26.0
Greenhouse and Energy Minimum Standards (Double-capped fluorescent lamps) Determination 2017,PHILIPS,China,High Frequency,"30W, 865 lamp",Alto Linear,AS/NZS 4782.1:2004,1206.0,36.0,83.0,88.9617486338798,3256.0,36.6,85.8469945355191,3142.0,36.6,"Australia,New Zealand",114976,Approved,2023-06-14,,Class 3,Unavailable,http://www.philips.com.au/,,FD-36-E-G13-26/1200,26.0
Greenhouse and Energy Minimum Standards (Double-capped fluorescent lamps) Determination 2017,PHILIPS,China,High Frequency,"36W, 830 lamp",Alto Linear,AS/NZS 4782.1:2004,1206.0,36.0,83.0,88.9617486338798,3256.0,36.6,85.8469945355191,3142.0,36.6,"Australia,New Zealand",114976,Approved,2023-06-14,,Class 3,Unavailable,http://www.philips.com.au/,,FD-36-E-G13-26/1200,26.0
Greenhouse and Energy Minimum Standards (Double-capped fluorescent lamps) Determination 2017,PHILIPS,China,High Frequency,"36W, 840 lamp",Alto Linear,AS/NZS 4782.1:2004,1206.0,36.0,83.0,88.9617486338798,3256.0,36.6,85.8469945355191,3142.0,36.6,"Australia,New Zealand",114976,Approved,2023-06-14,,Class 3,Unavailable,http://www.philips.com.au/,,FD-36-E-G13-26/1200,26.0
Greenhouse and Energy Minimum Standards (Double-capped fluorescent lamps) Determination 2017,PHILIPS,China,High Frequency,"36W, 865 lamp",Alto Linear,AS/NZS 4782.1:2004,1206.0,36.0,83.0,88.9617486338798,3256.0,36.6,85.8469945355191,3142.0,36.6,"Australia,New Zealand",114976,Approved,2023-06-14,,Class 3,Unavailable,http://www.philips.com.au/,,FD-36-E-G13-26/1200,26.0
Greenhouse and Energy Minimum Standards (Double-capped fluorescent lamps) Determination 2017,PHILIPS,China,High Frequency,Alto Linear,Alto Linear,AS/NZS 4782.1:2004,1206.0,36.0,83.0,88.9617486338798,3256.0,36.6,85.8469945355191,3142.0,36.6,"Australia,New Zealand",114976,Approved,2023-06-14,,Class 3,Unavailable,http://www.philips.com.au/,,FD-36-E-G13-26/1200,26.0
Greenhouse and Energy Minimum Standards (Double-capped fluorescent lamps) Determination 2017,GE,China,High Frequency,61068,FT5/21W/840/GE,AS/NZS 4782.1:2004,849.0,21.0,81.0,90.8292682926829,1862.0,20.5,77.9227053140097,1613.0,20.7,"Australia,New Zealand",115389,Approved,2023-07-10,,Class 2,Available,,,FDH-21-L/P-G5-16/850,16.0
Greenhouse and Energy Minimum Standards (Double-capped fluorescent lamps) Determination 2017,GE,China,High Frequency,61093,FT5/21W/840/GE,AS/NZS 4782.1:2004,849.0,21.0,81.0,90.8292682926829,1862.0,20.5,77.9227053140097,1613.0,20.7,"Australia,New Zealand",115389,Approved,2023-07-10,,Class 2,Available,,,FDH-21-L/P-G5-16/850,16.0
Greenhouse and Energy Minimum Standards (Double-capped fluorescent lamps) Determination 2017,GE,China,High Frequency,F21W/840/LL,FT5/21W/840/GE,AS/NZS 4782.1:2004,849.0,21.0,81.0,90.8292682926829,1862.0,20.5,77.9227053140097,1613.0,20.7,"Australia,New Zealand",115389,Approved,2023-07-10,,Class 2,Available,,,FDH-21-L/P-G5-16/850,16.0
