ApplStandard,Brand,Cap,CEC_,Conn_Type,Country,delayStartMode,Depth,Height,Load_Type,Model No,Family Name,N-Standard,New SRI,New Star,postProgenergy,powerConsMode,Prog Name,Prog Time,Sold_in,standbyPowerUsage,Submit_ID,SubmitStatus,Tot Wat Cons,Type,Water_Softener,Width,ExpDate,GrandDate,Product Class,Availability Status,Product Website,Representative Brand URL,Water Consumption (litres),Star Rating (old),Star Image Large,Star Image Small
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2015,BOSCH,15,235,Single,Germany,True,,,IEC,SMS66MI02A,GV640WT(954),AS/NZS 2007.1:2005,4.13917676835262,4.0,0.0,0.109,Eco 45,167.0,"Australia,Fiji,New Zealand",0.091,108249,Approved,11.85,Freestanding,True,,2022-06-21,,Single product class,Available,,http://www.bosch-home.com.au/,12.0,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2015,BOSCH,15,235,Single,Germany,True,,,IEC,SMS66MW01A,GV640WT(954),AS/NZS 2007.1:2005,4.13917676835262,4.0,0.0,0.109,Eco 45,167.0,"Australia,Fiji,New Zealand",0.091,108249,Approved,11.85,Freestanding,True,,2022-06-21,,Single product class,Available,,http://www.bosch-home.com.au/,12.0,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2015,BOSCH,15,235,Single,Germany,True,,,IEC,GV640WT,GV640WT,AS/NZS 2007.1:2005,4.13917676835262,4.0,0.0,0.109,Eco 45,167.0,"Australia,Fiji,New Zealand",0.091,108250,Approved,11.85,Freestanding,True,,2022-06-23,,Single product class,Available,,http://www.bosch-home.com.au/,12.0,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2015,BOSCH,15,235,Single,Germany,True,,,IEC,SMS66MI03A,GV640WT,AS/NZS 2007.1:2005,4.13917676835262,4.0,0.0,0.109,Eco 45,167.0,"Australia,Fiji,New Zealand",0.091,108250,Approved,11.85,Freestanding,True,,2022-06-23,,Single product class,Available,,http://www.bosch-home.com.au/,12.0,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2015,BOSCH,15,235,Single,Germany,True,,,IEC,SMU66MS02A,GV640WT,AS/NZS 2007.1:2005,4.13917676835262,4.0,0.0,0.109,Eco 45,167.0,"Australia,Fiji,New Zealand",0.091,108250,Approved,11.85,Freestanding,True,,2022-06-23,,Single product class,Available,,http://www.bosch-home.com.au/,12.0,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2015,SIEMENS,15,235,Single,Germany,True,,,IEC,GV640WT,GV640WT,AS/NZS 2007.1:2005,4.13917676835262,4.0,0.0,0.109,Eco 45,167.0,"Australia,Fiji,New Zealand",0.091,108251,Approved,11.85,Freestanding,True,,2022-06-21,,Single product class,Available,,http://www.siemens-home.com.au/,12.0,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2015,SIEMENS,15,235,Single,Germany,True,,,IEC,SN257I01MA,GV640WT,AS/NZS 2007.1:2005,4.13917676835262,4.0,0.0,0.109,Eco 45,167.0,"Australia,Fiji,New Zealand",0.091,108251,Approved,11.85,Freestanding,True,,2022-06-21,,Single product class,Available,,http://www.siemens-home.com.au/,12.0,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2015,SIEMENS,15,235,Single,Germany,True,,,IEC,SN456S02MA,GV640WT,AS/NZS 2007.1:2005,4.13917676835262,4.0,0.0,0.109,Eco 45,167.0,"Australia,Fiji,New Zealand",0.091,108251,Approved,11.85,Freestanding,True,,2022-06-21,,Single product class,Available,,http://www.siemens-home.com.au/,12.0,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2015,SIEMENS,15,235,Single,Germany,True,,,IEC,SN457S01MA,GV640WT,AS/NZS 2007.1:2005,4.13917676835262,4.0,0.0,0.109,Eco 45,167.0,"Australia,Fiji,New Zealand",0.091,108251,Approved,11.85,Freestanding,True,,2022-06-21,,Single product class,Available,,http://www.siemens-home.com.au/,12.0,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2015,SIEMENS,15,235,Single,Germany,True,,,IEC,SN557S01MA,GV640WT,AS/NZS 2007.1:2005,4.13917676835262,4.0,0.0,0.109,Eco 45,167.0,"Australia,Fiji,New Zealand",0.091,108251,Approved,11.85,Freestanding,True,,2022-06-21,,Single product class,Available,,http://www.siemens-home.com.au/,12.0,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
