"Heating.Elements","app","powerkW","adjust_temp","Gross.Store.Cap"
1,"hotwater_electric",2.84,"True",250
1,"hotwater_electric",2.84,"True",250
1,"hotwater_electric",2.84,"True",250
1,"hotwater_electric",2.84,"True",250
1,"hotwater_electric",2.84,"True",250
0,"hotwater_electric",2.22,"True",160
0,"hotwater_electric",2.22,"True",160
0,"hotwater_electric",2.22,"True",160
1,"hotwater_electric",3.12,"True",315
1,"hotwater_electric",3.12,"True",315
1,"hotwater_electric",3.12,"True",315
0,"hotwater_electric",2.64,"True",250
0,"hotwater_electric",2.64,"True",250
0,"hotwater_electric",2.64,"True",250
0,"hotwater_electric",3.13,"True",400
0,"hotwater_electric",3.13,"True",400
0,"hotwater_electric",3.13,"True",400
0,"hotwater_electric",2.92,"True",315
0,"hotwater_electric",2.92,"True",315
0,"hotwater_electric",2.92,"True",315
0,"hotwater_electric",2.92,"True",315
0,"hotwater_electric",2.92,"True",315
0,"hotwater_electric",2.92,"True",315
0,"hotwater_electric",3.13,"True",400
0,"hotwater_electric",3.13,"True",400
0,"hotwater_electric",3.13,"True",400
0,"hotwater_electric",2.64,"True",250
0,"hotwater_electric",2.64,"True",250
0,"hotwater_electric",2.64,"True",250
1,"hotwater_electric",3.33,"True",400
1,"hotwater_electric",3.33,"True",400
1,"hotwater_electric",3.33,"True",400
1,"hotwater_electric",3.33,"True",400
1,"hotwater_electric",3.33,"True",400
1,"hotwater_electric",3.33,"True",400
0,"hotwater_electric",2.22,"True",160
0,"hotwater_electric",2.22,"True",160
0,"hotwater_electric",2.22,"True",160
1,"hotwater_electric",2.84,"True",250
1,"hotwater_electric",2.84,"True",250
1,"hotwater_electric",2.84,"True",250
1,"hotwater_electric",3.12,"True",315
1,"hotwater_electric",3.12,"True",315
1,"hotwater_electric",3.12,"True",315
0,"hotwater_electric",2.22,"True",160
0,"hotwater_electric",2.22,"True",160
0,"hotwater_electric",2.22,"True",160
0,"hotwater_electric",2.22,"True",160
0,"hotwater_electric",2.22,"True",160
0,"hotwater_electric",2.22,"True",160
0,"hotwater_electric",2.22,"True",160
0,"hotwater_electric",2.22,"True",160
0,"hotwater_electric",2.22,"True",160
0,"hotwater_electric",2.22,"True",160
0,"hotwater_electric",2.64,"True",250
