"app","powerkW","star","Configuration1"
"aircon",2.93,0,"Non Ducted"
"aircon",3.935,0,"Non Ducted"
"aircon",4.775,0,"Non Ducted"
"aircon",3.715,0,"Ducted"
"aircon",4.445,0,"Ducted"
"aircon",5.12,0,"Ducted"
"aircon",5.12,0,"Ducted"
"aircon",3.84,0,"Ducted"
"aircon",4.3,0,"Ducted"
"aircon",4.715,0,"Ducted"
"aircon",1.575,2,"Non Ducted"
"aircon",2.075,1,"Non Ducted"
"aircon",2.65,2,"Non Ducted"
"aircon",2.95,2,"Non Ducted"
"aircon",3.85,2,"Non Ducted"
"aircon",4.25,1,"Non Ducted"
"aircon",0.615,1,"Non Ducted"
"aircon",0.71,2,"Non Ducted"
"aircon",0.71,2,"Non Ducted"
"aircon",0.86,2,"Non Ducted"
"aircon",2.815,2,"Non Ducted"
"aircon",0.675,0,"Non Ducted"
"aircon",0.925,0,"Non Ducted"
"aircon",0.775,1,"Non Ducted"
"aircon",1.135,1,"Non Ducted"
"aircon",1.525,1,"Non Ducted"
"aircon",1.75,1,"Non Ducted"
"aircon",0.715,3,"Non Ducted"
"aircon",0.715,3,"Non Ducted"
"aircon",0.715,3,"Non Ducted"
"aircon",0.715,3,"Non Ducted"
"aircon",0.715,3,"Non Ducted"
"aircon",0.715,3,"Non Ducted"
"aircon",0.715,3,"Non Ducted"
"aircon",0.715,3,"Non Ducted"
"aircon",0.715,3,"Non Ducted"
"aircon",0.715,3,"Non Ducted"
"aircon",0.715,3,"Non Ducted"
"aircon",0.715,3,"Non Ducted"
"aircon",0.715,3,"Non Ducted"
"aircon",0.715,3,"Non Ducted"
"aircon",0.715,3,"Non Ducted"
"aircon",0.715,3,"Non Ducted"
"aircon",0.715,3,"Non Ducted"
"aircon",0.715,3,"Non Ducted"
"aircon",3.05,0,"Ducted"
"aircon",3.725,0,"Ducted"
"aircon",4.255,0,"Ducted"
"aircon",2.67,0,"Non Ducted"
"aircon",3.065,1,"Non Ducted"
"aircon",0.765,0,"Ducted"
"aircon",13.865,0,"Ducted"
"aircon",1.6,0,"Ducted"
"aircon",0.73,0,"Ducted"
"aircon",1.065,0,"Ducted"
"aircon",0.665,2,"Non Ducted"
"aircon",0.715,3,"Non Ducted"
"aircon",5.64,0,"Ducted"
"aircon",6.01,0,"Ducted"
"aircon",7.04,0,"Ducted"
"aircon",0.61,3,"Non Ducted"
"aircon",0.955,2,"Non Ducted"
"aircon",1.275,2,"Non Ducted"
"aircon",1.565,2,"Non Ducted"
"aircon",3.39,0,"Ducted"
"aircon",4.08,0,"Ducted"
"aircon",4.63,0,"Ducted"
"aircon",5.37,0,"Ducted"
"aircon",3.755,0,"Ducted"
"aircon",0.635,2,"Non Ducted"
"aircon",0.61,3,"Non Ducted"
"aircon",1.035,2,"Non Ducted"
"aircon",1.4,2,"Non Ducted"
"aircon",1.365,2,"Non Ducted"
"aircon",1.515,2,"Non Ducted"
"aircon",8.21,0,"Ducted"
"aircon",8.21,0,"Ducted"
"aircon",8.21,0,"Ducted"
"aircon",8.21,0,"Ducted"
"aircon",12.3655,0,"Ducted"
"aircon",12.3655,0,"Ducted"
"aircon",12.3655,0,"Ducted"
"aircon",12.3655,0,"Ducted"
"aircon",8.61,0,"Ducted"
"aircon",8.61,0,"Ducted"
"aircon",8.35,0,"Ducted"
"aircon",8.35,0,"Ducted"
"aircon",8.35,0,"Ducted"
"aircon",3.98,0,"Non Ducted"
"aircon",3.98,2,"Non Ducted"
"aircon",0.735,3,"Non Ducted"
"aircon",1.52,2,"Non Ducted"
"aircon",0.935,2,"Non Ducted"
"aircon",0.935,2,"Non Ducted"
"aircon",0.935,2,"Non Ducted"
"aircon",0.6875,2,"Non Ducted"
"aircon",8.325,0,"Ducted"
"aircon",9.46,0,"Ducted"
"aircon",11.11,0,"Ducted"
"aircon",1.815,2,"Non Ducted"
"aircon",1.325,0,"Non Ducted"
"aircon",1.49,2,"Non Ducted"
"aircon",1.975,2,"Non Ducted"
"aircon",2.375,2,"Non Ducted"
"aircon",1.565,1,"Non Ducted"
"aircon",1.565,1,"Non Ducted"
"aircon",1.565,1,"Non Ducted"
"aircon",0.625,3,"Non Ducted"
"aircon",0.625,3,"Non Ducted"
"aircon",0.625,3,"Non Ducted"
"aircon",1.37,2,"Non Ducted"
"aircon",1.37,2,"Non Ducted"
"aircon",1.37,2,"Non Ducted"
"aircon",2.19,1,"Non Ducted"
"aircon",1.005,2,"Non Ducted"
"aircon",2.6,0,"Ducted"
"aircon",10.3745,0,"Ducted"
"aircon",10.035,0,"Ducted"
"aircon",10.035,0,"Ducted"
"aircon",10.035,0,"Ducted"
"aircon",9.889,0,"Ducted"
"aircon",9.889,0,"Ducted"
"aircon",9.889,0,"Ducted"
"aircon",1.13,2,"Non Ducted"
"aircon",1.13,2,"Non Ducted"
"aircon",1.13,2,"Non Ducted"
"aircon",1.97,0,"Ducted"
"aircon",2.855,0,"Ducted"
"aircon",2.855,0,"Ducted"
"aircon",20.164,0,"Ducted"
"aircon",0.75,4,"Non Ducted"
"aircon",0.75,4,"Non Ducted"
"aircon",0.75,4,"Non Ducted"
