"app","powerkW","star","screensize","Screen_Tech","Power.supply","Tuner.Type"
"television",1.53424657534247,2,163.965,"LCD (LED)","Internal","Digital"
"television",1.53424657534247,2,163.965,"LCD (LED)","Internal","Digital"
"television",1.53424657534247,2,163.965,"LCD (LED)","Internal","Digital"
"television",1.33424657534247,2,152.504,"LCD (LED)","Internal","Digital"
"television",1.33424657534247,2,152.504,"LCD (LED)","Internal","Digital"
"television",1.33424657534247,2,152.504,"LCD (LED)","Internal","Digital"
"television",0.934246575342466,2,125.725,"LCD (LED)","Internal","Digital"
"television",0.934246575342466,2,125.725,"LCD (LED)","Internal","Digital"
"television",0.934246575342466,2,125.725,"LCD (LED)","Internal","Digital"
"television",0.624657534246575,2,101.637,"LCD (LED)","Internal","Digital"
"television",0.624657534246575,2,101.637,"LCD (LED)","Internal","Digital"
"television",0.624657534246575,2,101.637,"LCD (LED)","Internal","Digital"
"television",0.854794520547945,3,138.798,"LCD (LED)","Internal","Digital"
"television",0.854794520547945,3,138.798,"LCD (LED)","Internal","Digital"
"television",0.854794520547945,3,138.798,"LCD (LED)","Internal","Digital"
"television",0.854794520547945,3,138.798,"LCD (LED)","Internal","Digital"
"television",0.854794520547945,3,138.798,"LCD (LED)","Internal","Digital"
"television",0.854794520547945,3,138.798,"LCD (LED)","Internal","Digital"
"television",1.11506849315068,2,138.798,"LCD (LED)","Internal","Digital"
"television",1.11506849315068,2,138.798,"LCD (LED)","Internal","Digital"
"television",1.11506849315068,2,138.798,"LCD (LED)","Internal","Digital"
"television",0.528767123287671,4,123.202,"LCD (LED)","Internal","Analogue/Digital"
"television",0.717808219178082,4,138.783,"LCD (LED)","Internal","Analogue/Digital"
"television",0.832876712328767,4,151.338,"LCD (LED)","Internal","Analogue/Digital"
"television",0.841095890410959,4,163.897,"LCD (LED)","Internal","Analogue/Digital"
"television",1.24931506849315,4,189.275,"LCD (LED)","Internal","Analogue/Digital"
"television",0.252054794520548,2,47.013,"LCD (LED)","Internal","Analogue/Digital"
"television",1.40547945205479,2,151.158,"LCD","Internal","Analogue/Digital"
"television",1.40547945205479,2,151.158,"LCD","Internal","Analogue/Digital"
"television",1.40547945205479,2,151.158,"LCD","Internal","Analogue/Digital"
"television",1.23287671232877,2,138.783,"LCD (LED)","Internal","Analogue/Digital"
"television",0.221917808219178,2,49.407,"LCD (LED)","Internal","Analogue/Digital"
"television",0.334246575342466,3,80.043,"LCD","Internal","Analogue/Digital"
"television",1.15068493150685,2,138.783,"OLED","Internal","Analogue/Digital"
"television",1.15068493150685,2,138.783,"OLED","Internal","Analogue/Digital"
"television",1.40547945205479,3,163.897,"OLED","Internal","Analogue/Digital"
"television",1.40547945205479,3,163.897,"OLED","Internal","Analogue/Digital"
"television",1.40547945205479,3,163.897,"OLED","Internal","Analogue/Digital"
"television",0.405479452054795,2,80.054,"LCD (LED)","Internal","Digital"
"television",0.405479452054795,2,80.054,"LCD (LED)","Internal","Digital"
"television",0.405479452054795,2,80.054,"LCD (LED)","Internal","Digital"
"television",0.545205479452055,3,101.637,"LCD (LED)","Internal","Digital"
"television",0.545205479452055,3,101.637,"LCD (LED)","Internal","Digital"
"television",0.545205479452055,3,101.637,"LCD (LED)","Internal","Digital"
"television",0.646575342465753,3,123.132,"LCD (LED)","Internal","Digital"
"television",0.646575342465753,3,123.132,"LCD (LED)","Internal","Digital"
"television",0.646575342465753,3,123.132,"LCD (LED)","Internal","Digital"
"television",1.79178082191781,3,189.275,"LCD","Internal","Analogue/Digital"
"television",0.846575342465753,2,107.95,"LCD (LED)","Internal","Analogue/Digital"
"television",0.824657534246575,3,123.219,"LCD (LED)","EPS","Analogue/Digital"
"television",0.780821917808219,3,138.798,"LCD (LED)","Internal","Analogue/Digital"
"television",0.8,3,123.202,"LCD","Internal","Analogue/Digital"
"television",1.20821917808219,2,138.783,"LCD","Internal","Analogue/Digital"
"television",0.498630136986301,4,125.727,"LCD (LED)","Internal","Digital"
"television",0.720547945205479,4,146.068,"LCD (LED)","Internal","Digital"
"television",1.24931506849315,3,163.897,"LCD (LED)","Internal","Digital"
"television",0.657534246575342,2,101.612,"LCD (LED)","Internal","Analogue/Digital"
"television",0.657534246575342,2,101.612,"LCD (LED)","Internal","Analogue/Digital"
"television",0.657534246575342,2,101.612,"LCD (LED)","Internal","Analogue/Digital"
"television",0.438356164383562,2,80.043,"LCD (LED)","Internal","Analogue/Digital"
"television",0.438356164383562,2,80.043,"LCD (LED)","Internal","Analogue/Digital"
"television",0.438356164383562,2,80.043,"LCD (LED)","Internal","Analogue/Digital"
"television",0.895890410958904,2,123.132,"LCD (LED)","Internal","Digital"
"television",0.895890410958904,2,123.132,"LCD (LED)","Internal","Digital"
"television",0.895890410958904,2,123.132,"LCD (LED)","Internal","Digital"
"television",0.895890410958904,2,123.132,"LCD (LED)","Internal","Digital"
"television",0.235616438356164,3,60.969,"LCD (LED)","EPS","Analogue/Digital"
"television",1.02465753424658,3,138.731,"LCD (LED)","Internal","Analogue/Digital"
"television",0.808219178082192,4,151.338,"LCD (LED)","Internal","Analogue/Digital"
"television",0.608219178082192,2,101.607,"LCD","Internal","Analogue/Digital"
"television",0.652054794520548,3,125.741,"LCD (LED)","Internal","Analogue/Digital"
"television",0.736986301369863,4,138.783,"LCD (LED)","Internal","Analogue/Digital"
"television",0.904109589041096,4,163.897,"LCD (LED)","Internal","Analogue/Digital"
"television",1.27397260273973,2,138.783,"LCD","Internal","Analogue/Digital"
"television",2.12328767123288,2,163.878,"LCD (LED)","Internal","Analogue/Digital"
"television",0.336986301369863,3,79.929,"LCD (LED)","EPS","Digital"
"television",0.506849315068493,3,100.402,"LCD (LED)","Internal","Digital"
"television",0.227397260273973,4,80.043,"LCD (LED)","Internal","Analogue/Digital"
"television",0.358904109589041,4,107.987,"LCD (LED)","Internal","Analogue/Digital"
"television",0.468493150684932,4,123.202,"LCD (LED)","Internal","Analogue/Digital"
"television",0.572602739726027,4,138.783,"LCD (LED)","Internal","Analogue/Digital"
"television",0.257534246575342,3,60.463,"LCD","EPS","Analogue/Digital"
"television",0.257534246575342,3,60.463,"LCD","EPS","Analogue/Digital"
"television",1.18630136986301,3,163.965,"LCD (LED)","Internal","Digital"
"television",1.18630136986301,3,163.965,"LCD (LED)","Internal","Digital"
"television",1.18630136986301,3,163.965,"LCD (LED)","Internal","Digital"
"television",1.15890410958904,2,138.783,"LCD (LED)","Internal","Analogue/Digital"
"television",1.15890410958904,2,138.783,"LCD (LED)","Internal","Analogue/Digital"
"television",1.15890410958904,2,138.783,"LCD (LED)","Internal","Analogue/Digital"
"television",0.227397260273973,2,47.013,"LCD (LED)","EPS","Analogue/Digital"
"television",0.227397260273973,2,47.013,"LCD (LED)","EPS","Analogue/Digital"
"television",0.268493150684932,2,54.77,"LCD (LED)","EPS","Analogue/Digital"
"television",0.268493150684932,2,54.77,"LCD (LED)","EPS","Analogue/Digital"
"television",0.257534246575342,3,59.809,"LCD (LED)","EPS","Analogue/Digital"
"television",0.257534246575342,3,59.809,"LCD (LED)","EPS","Analogue/Digital"
"television",0.821917808219178,3,138.783,"LCD (LED)","Internal","Analogue/Digital"
"television",1.6986301369863,2,165.646,"LCD (LED)","Internal","Analogue/Digital"
"television",1.6986301369863,2,165.646,"LCD (LED)","Internal","Analogue/Digital"
"television",1.6986301369863,2,165.646,"LCD (LED)","Internal","Analogue/Digital"
"television",1.6986301369863,2,165.646,"LCD (LED)","Internal","Analogue/Digital"
"television",1.18630136986301,3,163.965,"LCD (LED)","Internal","Digital"
"television",1.18630136986301,3,163.965,"LCD (LED)","Internal","Digital"
"television",1.18630136986301,3,163.965,"LCD (LED)","Internal","Digital"
"television",0.706849315068493,2,107.95,"LCD (LED)","Internal","Digital"
"television",0.706849315068493,2,107.95,"LCD (LED)","Internal","Digital"
"television",0.706849315068493,2,107.95,"LCD (LED)","Internal","Digital"
"television",1.18630136986301,3,163.965,"LCD (LED)","Internal","Digital"
"television",1.18630136986301,3,163.965,"LCD (LED)","Internal","Digital"
"television",1.18630136986301,3,163.965,"LCD (LED)","Internal","Digital"
"television",1.77534246575342,2,176.592,"LCD (LED)","Internal","Digital"
"television",1.77534246575342,2,176.592,"LCD (LED)","Internal","Digital"
"television",1.77534246575342,2,176.592,"LCD (LED)","Internal","Digital"
"television",1.11506849315068,2,138.798,"LCD (LED)","Internal","Digital"
"television",1.11506849315068,2,138.798,"LCD (LED)","Internal","Digital"
"television",1.11506849315068,2,138.798,"LCD (LED)","Internal","Digital"
"television",1.56438356164384,3,189.579,"LCD (LED)","Internal","Digital"
"television",1.56438356164384,3,189.579,"LCD (LED)","Internal","Digital"
"television",1.56438356164384,3,189.579,"LCD (LED)","Internal","Digital"
"television",1.70684931506849,3,198.262,"LCD (LED)","Internal","Digital"
"television",1.70684931506849,3,198.262,"LCD (LED)","Internal","Digital"
"television",1.70684931506849,3,198.262,"LCD (LED)","Internal","Digital"
"television",2.80547945205479,2,223.739,"LCD (LED)","Internal","Digital"
"television",2.80547945205479,2,223.739,"LCD (LED)","Internal","Digital"
"television",2.80547945205479,2,223.739,"LCD (LED)","Internal","Digital"
"television",0.254794520547945,4,80.054,"LCD (LED)","Internal","Digital"
"television",1.21917808219178,2,138.783,"LCD","Internal","Analogue/Digital"
"television",0.356164383561644,3,80.029,"LCD (LED)","Internal","Analogue/Digital"
"television",1.61643835616438,2,163.896,"LCD (LED)","Internal","Analogue/Digital"
"television",1.0958904109589,2,138.783,"LCD (LED)","Internal","Analogue/Digital"
"television",0.405479452054795,2,80.043,"LCD (LED)","Internal","Analogue/Digital"
"television",0.923287671232877,3,138.798,"LCD","Internal","Analogue/Digital"
"television",2.18356164383562,2,194.738,"OLED","Internal","Analogue/Digital"
"television",0.252054794520548,4,80.054,"LCD (LED)","Internal","Digital"
"television",0.446575342465753,3,100.305,"LCD (LED)","Internal","Digital"
"television",0.512328767123288,3,100.305,"LCD (LED)","Internal","Digital"
"television",0.506849315068493,3,107.95,"LCD (LED)","Internal","Digital"
"television",0.536986301369863,4,120.937,"LCD (LED)","Internal","Digital"
"television",0.536986301369863,4,120.937,"LCD (LED)","Internal","Digital"
"television",0.898630136986301,3,138.783,"LCD (LED)","Internal","Analogue/Digital"
"television",0.898630136986301,3,138.783,"LCD (LED)","Internal","Analogue/Digital"
"television",0.898630136986301,3,138.783,"LCD (LED)","Internal","Analogue/Digital"
"television",0.575342465753425,3,100.328,"LCD (LED)","Internal","Analogue/Digital"
"television",1.42465753424658,3,163.896,"LCD (LED)","Internal","Analogue/Digital"
"television",1.42465753424658,3,163.896,"LCD (LED)","Internal","Analogue/Digital"
"television",4.15616438356164,2,252.751,"LCD (LED)","Internal","Analogue/Digital"
"television",0.345205479452055,4,107.987,"LCD (LED)","Internal","Analogue/Digital"
