Submit_ID,Brand_Reg,Model_No,Family Name,SoldIn,Country,Sing_or_fam,standard_rating,condenser_type,cert_program,cooling_capacity,Decl_COP,Decl_IPLV,ExpDate,GrandDate,SubmitStatus,Product Class,Availability Status,Product Website,Representative Brand URL,Registration Basis
122407,CARRIER,30KA1050,,"Australia,Fiji,New Zealand","United States of America,France,China",Single,True,Air Cooled,,1076.0,3.06,4.471,2024-06-19,,Approved,Single product class,Available,,http://www.ahi-carrier.com.au,AHRI
122424,CARRIER,19PVH2 H2,19PVH2/H3 H2/H3,"Australia,Fiji,New Zealand","United States of America,France,China",Family,True,Water Cooled,,500.0,5.3,10.3,2024-06-21,,Approved,Single product class,Available,,http://www.ahi-carrier.com.au,AHRI
122424,CARRIER,19PVH2 H3,19PVH2/H3 H2/H3,"Australia,Fiji,New Zealand","United States of America,France,China",Family,True,Water Cooled,,500.0,5.3,10.3,2024-06-21,,Approved,Single product class,Available,,http://www.ahi-carrier.com.au,AHRI
122424,CARRIER,19PVH2/H3 H2/H3,19PVH2/H3 H2/H3,"Australia,Fiji,New Zealand","United States of America,France,China",Family,True,Water Cooled,,500.0,5.3,10.3,2024-06-21,,Approved,Single product class,Available,,http://www.ahi-carrier.com.au,AHRI
122424,CARRIER,19PVH3 H2,19PVH2/H3 H2/H3,"Australia,Fiji,New Zealand","United States of America,France,China",Family,True,Water Cooled,,500.0,5.3,10.3,2024-06-21,,Approved,Single product class,Available,,http://www.ahi-carrier.com.au,AHRI
122424,CARRIER,19PVH3 H3,19PVH2/H3 H2/H3,"Australia,Fiji,New Zealand","United States of America,France,China",Family,True,Water Cooled,,500.0,5.3,10.3,2024-06-21,,Approved,Single product class,Available,,http://www.ahi-carrier.com.au,AHRI
122487,DAIKIN,EWWD600VZ-SS A1,,Australia,Italy,Single,True,Water Cooled,,597.8,5.48,9.43,2024-06-27,,Approved,Single product class,Available,http://www.daikin.com.au/,http://www.daikin.com.au,Eurovent
122488,DAIKIN,EWWD610VZ XS A1,,Australia,Italy,Single,True,Water Cooled,,603.0,5.596,9.52,2024-06-27,,Approved,Single product class,Available,http://www.daikin.com.au/,http://www.daikin.com.au,Eurovent
122489,DAIKIN,EWWD900VZ XS A1,,Australia,Italy,Single,True,Water Cooled,,884.6,5.638,9.48,2024-06-27,,Approved,Single product class,Available,http://www.daikin.com.au/,http://www.daikin.com.au,Eurovent
122490,DAIKIN,EWWDC12VZ XS A2,,Australia,Italy,Single,True,Water Cooled,,982.0,5.541,9.5,2024-10-02,,Approved,Single product class,Available,http://www.daikin.com.au/,http://www.daikin.com.au,AHRI
122491,DAIKIN,EWADC10TZ XL B2,,Australia,Italy,Single,True,Air Cooled,,1004.0,3.352,6.24,2024-06-27,,Approved,Single product class,Available,http://www.daikin.com.au/,http://www.daikin.com.au,Eurovent
122492,DAIKIN,EWADC11TZ SL B2,,Australia,Italy,Single,True,Air Cooled,,1107.0,3.052,5.28,2024-06-27,,Approved,Single product class,Available,http://www.daikin.com.au/,http://www.daikin.com.au,Eurovent
122493,DAIKIN,EWAD850TZ XR B2,,Australia,Italy,Single,True,Air Cooled,,852.2,3.23,6.12,2024-06-27,,Approved,Single product class,Available,http://www.daikin.com.au/,http://www.daikin.com.au,Eurovent
122494,DAIKIN,EWADC11TZ SS B2,,Australia,Italy,Single,True,Air Cooled,,1107.0,3.052,5.28,2024-06-27,,Approved,Single product class,Available,http://www.daikin.com.au/,http://www.daikin.com.au,Eurovent
122495,DAIKIN,EWAD420TZ XR B2,,Australia,Italy,Single,True,Air Cooled,,417.9,3.194,5.81,2024-06-27,,Approved,Single product class,Available,http://www.daikin.com.au/,http://www.daikin.com.au,Eurovent
122496,DAIKIN,EWAD540TZ XL B2,,Australia,Italy,Single,True,Air Cooled,,557.8,3.305,5.71,2024-06-27,,Approved,Single product class,Available,http://www.daikin.com.au/,http://www.daikin.com.au,Eurovent
122497,DAIKIN,EWAD415TZ SR,,Australia,Italy,Single,True,Air Cooled,,413.7,2.895,6.18,2024-06-27,,Approved,Single product class,Available,http://www.daikin.com.au/,http://www.daikin.com.au,Eurovent
122498,DAIKIN,EWAD570TZ SS B2,,Australia,Italy,Single,True,Air Cooled,,571.9,2.925,5.22,2024-06-27,,Approved,Single product class,Available,http://www.daikin.com.au/,http://www.daikin.com.au,Eurovent
122515,CARRIER,19PVOC OD OE - QD TE,19PVOC OD OE - QD TE,"Australia,Fiji,New Zealand","United States of America,France,China",Family,True,Water Cooled,,1000.0,6.1,10.5,2024-07-01,,Approved,Single product class,Available,,http://www.ahi-carrier.com.au,AHRI
122515,CARRIER,19PVOC QD,19PVOC OD OE - QD TE,"Australia,Fiji,New Zealand","United States of America,France,China",Family,True,Water Cooled,,1000.0,6.1,10.5,2024-07-01,,Approved,Single product class,Available,,http://www.ahi-carrier.com.au,AHRI
122515,CARRIER,19PVOC TE,19PVOC OD OE - QD TE,"Australia,Fiji,New Zealand","United States of America,France,China",Family,True,Water Cooled,,1000.0,6.1,10.5,2024-07-01,,Approved,Single product class,Available,,http://www.ahi-carrier.com.au,AHRI
122515,CARRIER,19PVOD QD,19PVOC OD OE - QD TE,"Australia,Fiji,New Zealand","United States of America,France,China",Family,True,Water Cooled,,1000.0,6.1,10.5,2024-07-01,,Approved,Single product class,Available,,http://www.ahi-carrier.com.au,AHRI
122515,CARRIER,19PVOD TE,19PVOC OD OE - QD TE,"Australia,Fiji,New Zealand","United States of America,France,China",Family,True,Water Cooled,,1000.0,6.1,10.5,2024-07-01,,Approved,Single product class,Available,,http://www.ahi-carrier.com.au,AHRI
122515,CARRIER,19PVOE QD,19PVOC OD OE - QD TE,"Australia,Fiji,New Zealand","United States of America,France,China",Family,True,Water Cooled,,1000.0,6.1,10.5,2024-07-01,,Approved,Single product class,Available,,http://www.ahi-carrier.com.au,AHRI
122515,CARRIER,19PVOE TE,19PVOC OD OE - QD TE,"Australia,Fiji,New Zealand","United States of America,France,China",Family,True,Water Cooled,,1000.0,6.1,10.5,2024-07-01,,Approved,Single product class,Available,,http://www.ahi-carrier.com.au,AHRI
122525,YORK,YMC2-S1825AB; M2C-233FAC; EB2914-321-C; CB2514-260-E,,"Australia,Fiji,New Zealand","United States of America,China",Single,True,Water Cooled,,1825.0,6.123,11.05,2024-07-03,,Approved,Single product class,Available,http://www.johnsoncontrols.com.au/,http://www.johnsoncontrols.com.au,AHRI
122606,CARRIER,30XAVZE0551,,"Australia,Fiji,New Zealand","United States of America,France,China",Single,True,Air Cooled,,518.9,3.26,5.69,2024-07-03,,Approved,Single product class,Available,,http://www.ahi-carrier.com.au,Eurovent
