Submit_ID,Brand_Reg,Model_No,Family Name,N-Reg_Date,N-Grandfather-Date,Reg_No,SoldIn,Country,Prod_conf,nov,pno,Apply_type_for,SubmitStatus,ExpDate,GrandDate,Product Class,Availability Status,Product Website,Representative Brand URL,Input voltage (V) Max,Input voltage (V) Min,Output voltage (V) Min
95877,FUJIA,FJ-SW1160501000US,FJ-SW1160501000,2016-01-19,,APS3582,"Australia,Fiji,New Zealand",China,AC-DC,5.0,5.0,High Efficiency 2008 (Mark V),Approved,2021-01-19,,Class 1,Available,,,240.0,100.0,5.0
95878,NETGEAR,ADS-65DI-12N-1 12060E,ADS-65 Series,2016-01-15,,APS3552,"Australia,Fiji,New Zealand",China,AC-DC,24.0,65.0,High Efficiency 2014 (Mark VI),Approved,2021-01-15,,Class 1,Unavailable,,,240.0,100.0,12.0
95878,NETGEAR,ADS-65DI-19A-1 19065E,ADS-65 Series,2016-01-15,,APS3552,"Australia,Fiji,New Zealand",China,AC-DC,24.0,65.0,High Efficiency 2014 (Mark VI),Approved,2021-01-15,,Class 1,Unavailable,,,240.0,100.0,12.0
95878,NETGEAR,ADS-65DI-19A-1 24065E,ADS-65 Series,2016-01-15,,APS3552,"Australia,Fiji,New Zealand",China,AC-DC,24.0,65.0,High Efficiency 2014 (Mark VI),Approved,2021-01-15,,Class 1,Unavailable,,,240.0,100.0,12.0
95878,NETGEAR,ADS-65DI-19N-1 19065E,ADS-65 Series,2016-01-15,,APS3552,"Australia,Fiji,New Zealand",China,AC-DC,24.0,65.0,High Efficiency 2014 (Mark VI),Approved,2021-01-15,,Class 1,Unavailable,,,240.0,100.0,12.0
95878,NETGEAR,ADS-65DI-19N-1 24065E,ADS-65 Series,2016-01-15,,APS3552,"Australia,Fiji,New Zealand",China,AC-DC,24.0,65.0,High Efficiency 2014 (Mark VI),Approved,2021-01-15,,Class 1,Unavailable,,,240.0,100.0,12.0
95878,NETGEAR,ADS-65HI-12N-1 12060E,ADS-65 Series,2016-01-15,,APS3552,"Australia,Fiji,New Zealand",China,AC-DC,24.0,65.0,High Efficiency 2014 (Mark VI),Approved,2021-01-15,,Class 1,Unavailable,,,240.0,100.0,12.0
95878,NETGEAR,ADS-65HI-19A-1 19065E,ADS-65 Series,2016-01-15,,APS3552,"Australia,Fiji,New Zealand",China,AC-DC,24.0,65.0,High Efficiency 2014 (Mark VI),Approved,2021-01-15,,Class 1,Unavailable,,,240.0,100.0,12.0
95878,NETGEAR,ADS-65HI-19A-1 24065E,ADS-65 Series,2016-01-15,,APS3552,"Australia,Fiji,New Zealand",China,AC-DC,24.0,65.0,High Efficiency 2014 (Mark VI),Approved,2021-01-15,,Class 1,Unavailable,,,240.0,100.0,12.0
95878,NETGEAR,ADS-65HI-19N-1 19065E,ADS-65 Series,2016-01-15,,APS3552,"Australia,Fiji,New Zealand",China,AC-DC,24.0,65.0,High Efficiency 2014 (Mark VI),Approved,2021-01-15,,Class 1,Unavailable,,,240.0,100.0,12.0
95878,NETGEAR,ADS-65HI-19N-1 24065E,ADS-65 Series,2016-01-15,,APS3552,"Australia,Fiji,New Zealand",China,AC-DC,24.0,65.0,High Efficiency 2014 (Mark VI),Approved,2021-01-15,,Class 1,Unavailable,,,240.0,100.0,12.0
95878,NETGEAR,ADS-65 Series,ADS-65 Series,2016-01-15,,APS3552,"Australia,Fiji,New Zealand",China,AC-DC,24.0,65.0,High Efficiency 2014 (Mark VI),Approved,2021-01-15,,Class 1,Unavailable,,,240.0,100.0,12.0
95894,Sony,VGP-AC19V41,,2016-01-19,,APS3586,"Australia,New Zealand",China,AC-DC,19.5,91.65,High Efficiency 2008 (Mark V),Approved,2021-01-19,,Class 1,Unavailable,http://www.deltaww.com/,,240.0,100.0,19.5
95896,Sony,VGP-AC19V18,,2016-01-19,,APS3581,"Australia,New Zealand",China,AC-DC,19.5,150.15,High Efficiency 2008 (Mark IV),Approved,2021-01-19,,Class 1,Unavailable,http://www.deltaww.com/,,240.0,100.0,19.5
95897,NetBit,NBS30D240125D5,NBS30D240125D5,2016-01-19,,APS3590,"Australia,Fiji,New Zealand",China,AC-DC,24.0,30.0,High Efficiency 2014 (Mark VI),Approved,2021-01-19,,Class 1,Unavailable,,,240.0,100.0,24.0
95897,Crestron,NBS30D240125D5,NBS30D240125D5,2016-01-19,,APS3590,"Australia,Fiji,New Zealand",China,AC-DC,24.0,30.0,High Efficiency 2014 (Mark VI),Approved,2021-01-19,,Class 1,Unavailable,,,240.0,100.0,24.0
95898,FUJIA,FJ-SW1161200600,FJ-SW1161200600,2016-01-19,,APS3584,"Australia,Fiji,New Zealand",China,AC-DC,12.0,7.2,High Efficiency 2008 (Mark V),Approved,2021-01-19,,Class 1,Available,,,240.0,100.0,12.0
95898,FUJIA,FJ-SW1161200600DN,FJ-SW1161200600,2016-01-19,,APS3584,"Australia,Fiji,New Zealand",China,AC-DC,12.0,7.2,High Efficiency 2008 (Mark V),Approved,2021-01-19,,Class 1,Available,,,240.0,100.0,12.0
95898,FUJIA,FJ-SW1161200600DS,FJ-SW1161200600,2016-01-19,,APS3584,"Australia,Fiji,New Zealand",China,AC-DC,12.0,7.2,High Efficiency 2008 (Mark V),Approved,2021-01-19,,Class 1,Available,,,240.0,100.0,12.0
95898,FUJIA,FJ-SW1161200600UN,FJ-SW1161200600,2016-01-19,,APS3584,"Australia,Fiji,New Zealand",China,AC-DC,12.0,7.2,High Efficiency 2008 (Mark V),Approved,2021-01-19,,Class 1,Available,,,240.0,100.0,12.0
95898,FUJIA,FJ-SW1161200600US,FJ-SW1161200600,2016-01-19,,APS3584,"Australia,Fiji,New Zealand",China,AC-DC,12.0,7.2,High Efficiency 2008 (Mark V),Approved,2021-01-19,,Class 1,Available,,,240.0,100.0,12.0
95899,FUJIA,FJ-SW1260502000,FJ-SW1260502000,2016-01-11,,APS3530,"Australia,Fiji",China,AC-DC,5.0,10.0,High Efficiency 2014 (Mark VI),Approved,2021-01-11,,Class 1,Available,,,240.0,100.0,5.0
95899,FUJIA,FJ-SW1260502000DN,FJ-SW1260502000,2016-01-11,,APS3530,"Australia,Fiji",China,AC-DC,5.0,10.0,High Efficiency 2014 (Mark VI),Approved,2021-01-11,,Class 1,Available,,,240.0,100.0,5.0
95899,FUJIA,FJ-SW1260502000DS,FJ-SW1260502000,2016-01-11,,APS3530,"Australia,Fiji",China,AC-DC,5.0,10.0,High Efficiency 2014 (Mark VI),Approved,2021-01-11,,Class 1,Available,,,240.0,100.0,5.0
95899,FUJIA,FJ-SW1260502000UN,FJ-SW1260502000,2016-01-11,,APS3530,"Australia,Fiji",China,AC-DC,5.0,10.0,High Efficiency 2014 (Mark VI),Approved,2021-01-11,,Class 1,Available,,,240.0,100.0,5.0
95899,FUJIA,FJ-SW1260502000US,FJ-SW1260502000,2016-01-11,,APS3530,"Australia,Fiji",China,AC-DC,5.0,10.0,High Efficiency 2014 (Mark VI),Approved,2021-01-11,,Class 1,Available,,,240.0,100.0,5.0
95909,hp,TPN-CA05,,2016-01-12,,APS3539,"Australia,Fiji,New Zealand",China,AC-DC,19.5,65.0,High Efficiency 2014 (Mark VI),Approved,2021-01-12,,Class 1,Available,,http://hp,240.0,100.0,19.5
95911,DELTA,ADP-75AR B,,2016-01-28,,APS3639,"Australia,Fiji,New Zealand","China,Thailand",AC-DC,12.0,75.0,High Efficiency 2014 (Mark VI),Approved,2021-01-28,,Class 1,Available,,,240.0,100.0,12.0
